Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
31.07.2021;9:27:54;LVS 3.1;977;3275:13:00;0:00;0;0;0;0;0;0,3;977;23,4;;;31,4;55;1;Time;;;start of measurement;
31.07.2021;9:27:55;LVS 3.1;977;3275:13:00;0:00;0;0;0;0;0;0;977;23,4;;;31,4;55;1;Time;;;start of sample;
31.07.2021;10:27:55;LVS 3.1;977;3276:13:00;1:00;59,9;2,29;2,04;2,295;2,037;58,1;977;23,8;;;32,1;51,9;1;Time;;;;
31.07.2021;11:27:55;LVS 3.1;977;3277:13:00;2:00;59,7;2,3;2,04;4,595;4,075;57,8;977;24,4;;;32;43,9;1;Time;;;;
31.07.2021;12:27:55;LVS 3.1;977;3278:13:00;3:00;59,8;2,3;2,04;6,895;6,113;57,8;977;24,5;;;32;43,1;1;Time;;;;
31.07.2021;13:27:55;LVS 3.1;977;3279:13:00;4:00;59,7;2,3;2,04;9,195;8,153;58,1;977;24,4;;;32,1;42,8;1;Time;;;;
31.07.2021;14:27:55;LVS 3.1;977;3280:13:00;5:00;59,5;2,3;2,03;11,495;10,186;58,3;977;25,3;;;32,5;39,7;1;Time;;;;
31.07.2021;15:27:55;LVS 3.1;977;3281:13:00;6:00;59,7;2,3;2,03;13,795;12,217;58,1;978;25,7;;;32,7;38,1;1;Time;;;;
31.07.2021;16:27:55;LVS 3.1;977;3282:13:00;7:00;59,7;2,3;2,03;16,095;14,25;58,1;978;25,4;;;32,6;38;1;Time;;;;
31.07.2021;17:27:55;LVS 3.1;977;3283:13:00;8:00;59,7;2,3;2,03;18,395;16,284;58;978;25,4;;;32,4;37,9;1;Time;;;;
31.07.2021;18:27:55;LVS 3.1;977;3284:13:00;9:00;59,8;2,3;2,04;20,695;18,321;58,3;979;25;;;32,4;38,5;1;Time;;;;
31.07.2021;19:27:55;LVS 3.1;977;3285:13:00;10:00;60,1;2,3;2,04;22,995;20,362;58,6;979;24,6;;;32,4;40,2;1;Time;;;;
31.07.2021;20:27:55;LVS 3.1;977;3286:13:00;11:00;60,2;2,3;2,05;25,295;22,415;58,6;979;23;;;31,8;45;1;Time;;;;
31.07.2021;21:27:55;LVS 3.1;977;3287:13:00;12:00;60,5;2,3;2,06;27,595;24,476;58,6;980;21,9;;;31,4;48,9;1;Time;;;;
31.07.2021;22:27:55;LVS 3.1;977;3288:13:00;13:00;60,5;2,3;2,07;29,895;26,545;58,6;980;20,9;;;31,4;52,9;1;Time;;;;
31.07.2021;23:27:55;LVS 3.1;977;3289:13:00;14:00;60,7;2,3;2,07;32,195;28,619;58,9;981;20,4;;;31,2;55;1;Time;;;;
01.08.2021;0:27:55;LVS 3.1;977;3290:13:00;15:00;60,9;2,3;2,08;34,495;30,7;58,9;981;19,6;;;31;58;1;Time;;;;
01.08.2021;1:27:55;LVS 3.1;977;3291:13:00;16:00;61;2,3;2,08;36,795;32,784;59,2;982;19,2;;;30,7;59,7;1;Time;;;;
01.08.2021;2:27:55;LVS 3.1;977;3292:13:00;17:00;61,2;2,3;2,09;39,095;34,876;59,2;982;18,2;;;30,3;64,2;1;Time;;;;
01.08.2021;3:27:55;LVS 3.1;977;3293:13:00;18:00;61,3;2,3;2,1;41,395;36,973;59,2;982;17,6;;;30;66,9;1;Time;;;;
01.08.2021;4:27:55;LVS 3.1;977;3294:13:00;19:00;61,3;2,3;2,1;43,695;39,072;59,5;982;17,5;;;30,1;67;1;Time;;;;
01.08.2021;5:27:55;LVS 3.1;977;3295:13:00;20:00;61,3;2,3;2,1;45,995;41,17;59,5;983;17,6;;;30,1;66,2;1;Time;;;;
01.08.2021;6:27:55;LVS 3.1;977;3296:13:00;21:00;61,1;2,3;2,09;48,295;43,264;59,5;983;18,3;;;30,6;64,7;1;Time;;;;
01.08.2021;7:27:55;LVS 3.1;977;3297:13:00;22:00;60,7;2,3;2,09;50,595;45,428;59,5;983;19,3;;;30,9;63;1;Time;;;;
01.08.2021;8:27:55;LVS 3.1;977;3298:13:00;23:00;60,4;2,3;2,07;52,895;47,497;59,5;983;21,9;;;31,9;54,7;1;Time;;;;
01.08.2021;9:27:17;LVS 3.1;977;3299:12:00;23:59;60;2,3;2,06;55,171;49,531;59,5;983;23,8;;;32,3;47,7;1;Time;;;cancelled by user;
01.08.2021;9:27:17;LVS 3.1;977;3299:12:00;23:59;60;2,3;2,06;55,171;49,531;59,5;981;22;;;31,5;51,2;1;Time;;;average values;
01.08.2021;9:29:14;LVS 3.1;977;3299:12:00;0:00;0;0;0;0;0;0;984;24,3;;;31,4;45,6;1;Time;;;start of measurement;
01.08.2021;9:30:00;LVS 3.1;977;3299:12:00;0:00;0;0;0;0;0;0,3;984;24,2;;;31,2;45,4;1;Time;;;start of sample;
01.08.2021;10:30:00;LVS 3.1;977;3300:12:00;1:00;56,3;2,3;2,05;2,296;2,049;30,5;983;24,2;;;32,1;46,3;1;Time;;;;
01.08.2021;11:30:00;LVS 3.1;977;3301:12:00;2:00;56,5;2,3;2,06;4,596;4,104;31;983;23,9;;;32,2;48,4;1;Time;;;;
01.08.2021;12:30:00;LVS 3.1;977;3302:12:00;3:00;56,5;2,3;2,05;6,896;6,158;31,3;983;24;;;32,1;48,8;1;Time;;;;
01.08.2021;13:30:00;LVS 3.1;977;3303:12:00;4:00;56,9;2,3;2,06;9,196;8,218;31,9;984;23,3;;;31,8;54;1;Time;;;;
01.08.2021;14:30:00;LVS 3.1;977;3304:12:00;5:00;57,3;2,3;2,07;11,496;10,29;32,7;983;21,4;;;31,3;69,3;1;Time;;;;
01.08.2021;15:30:00;LVS 3.1;977;3305:12:00;6:00;57,3;2,3;2,07;13,796;12,359;32,4;983;21,7;;;31,3;69;1;Time;;;;
01.08.2021;16:30:00;LVS 3.1;977;3306:12:00;7:00;57,1;2,3;2,06;16,096;14,424;32,7;983;22,2;;;31,3;70;1;Time;;;;
01.08.2021;17:30:00;LVS 3.1;977;3307:12:00;8:00;56,9;2,3;2,06;18,396;16,482;33;982;23,1;;;31,9;66,4;1;Time;;;;
01.08.2021;18:30:00;LVS 3.1;977;3308:12:00;9:00;56,9;2,3;2,05;20,696;18,535;33,3;982;23,7;;;31,9;65,5;1;Time;;;;
01.08.2021;19:30:00;LVS 3.1;977;3309:12:00;10:00;57,1;2,3;2,05;22,996;20,589;33,3;981;23,5;;;32;67,5;1;Time;;;;
01.08.2021;20:30:00;LVS 3.1;977;3310:12:00;11:00;57,2;2,3;2,06;25,296;22,649;33,9;982;22,7;;;31,6;71,3;1;Time;;;;
01.08.2021;21:30:00;LVS 3.1;977;3311:12:00;12:00;57,4;2,3;2,06;27,596;24,714;34,1;982;22,1;;;31,4;75,4;1;Time;;;;
01.08.2021;22:30:00;LVS 3.1;977;3312:12:00;13:00;57,6;2,3;2,07;29,896;26,786;34,1;982;21,2;;;31,4;80,3;1;Time;;;;
01.08.2021;23:30:00;LVS 3.1;977;3313:12:00;14:00;57,8;2,3;2,08;32,196;28,863;34,4;982;20,5;;;31,4;83,7;1;Time;;;;
02.08.2021;0:30:00;LVS 3.1;977;3314:12:00;15:00;58;2,3;2,08;34,496;30,946;35;983;19,6;;;31,3;87,8;1;Time;;;;
02.08.2021;1:30:00;LVS 3.1;977;3315:12:00;16:00;58;2,3;2,08;36,796;33,031;35,3;982;19,4;;;31,2;89,5;1;Time;;;;
02.08.2021;2:30:00;LVS 3.1;977;3316:12:00;17:00;57,8;2,3;2,08;39,096;35,116;35,3;982;19,3;;;31,3;90,4;1;Time;;;;
02.08.2021;3:30:00;LVS 3.1;977;3317:12:00;18:00;57,9;2,3;2,08;41,396;37,195;35,3;983;20,1;;;31;87,6;1;Time;;;;
02.08.2021;4:30:00;LVS 3.1;977;3318:12:00;19:00;58,2;2,3;2,08;43,696;39,475;35,9;982;19,4;;;30,8;89,2;1;Time;;;;
02.08.2021;5:30:00;LVS 3.1;977;3319:12:00;20:00;58,2;2,3;2,09;45,996;41,745;35,9;982;18,5;;;31,1;92;1;Time;;;;
