Date;Time;Type;D/N;Pump Run Time Total(h:m);Time of Measurement(h:m);Motorspeed(%);Actual(m3/h);Actual(Nm3/h);Actual(m3);Actual(Nm3);Filter Press.(hPa);Air Pressure(hPa);Outdoor Temp.('C);Filter Temp.('C);Chamber Temp.('C);Temperature orifice('C);Rel.Humidity(%);Magazine Position;Measuring Typ;Sample ID;Max. Planned Pos.;Event;Error
13.09.2021;13:29:12;PNS 18T DM-6.1;10704;4168:35:00;0:00;0;0;0;0;0;0;980;22,8;25,5;21,7;20;46,2;1;Period(Time);1;2;start of measurement;
14.09.2021;9:30:00;PNS 18T DM-6.1;10704;4168:35:00;0:00;0;0;0;0;0;0;982;11,4;25,2;19,4;21,2;72,5;1;Period(Time);1;2;start of sample;
14.09.2021;10:30:00;PNS 18T DM-6.1;10704;4169:35:00;1:00;36,2;2,3;2,13;2,297;2,135;63,4;981;11,7;19,5;20,7;21,3;66,2;1;Period(Time);1;2;;
14.09.2021;11:30:00;PNS 18T DM-6.1;10704;4170:35:00;2:00;36,6;2,3;2,13;4,597;4,269;63,4;981;12,3;19,7;20,7;22,1;57;1;Period(Time);1;2;;
14.09.2021;12:30:00;PNS 18T DM-6.1;10704;4171:35:00;3:00;36,7;2,3;2,14;6,897;6,408;63,4;981;11,6;19,7;20,7;22,4;53;1;Period(Time);1;2;;
14.09.2021;13:30:00;PNS 18T DM-6.1;10704;4172:35:00;4:00;36,7;2,3;2,14;9,197;8,549;64;981;11,4;19,9;20,7;22,5;54,9;1;Period(Time);1;2;;
14.09.2021;14:30:00;PNS 18T DM-6.1;10704;4173:35:00;5:00;36,8;2,3;2,14;11,497;10,688;63,8;982;11,7;20,8;20,6;23,9;53;1;Period(Time);1;2;;
14.09.2021;15:30:00;PNS 18T DM-6.1;10704;4174:35:00;6:00;36,9;2,3;2,13;13,797;12,82;63,4;981;12,5;22,2;20,7;25,4;51,1;1;Period(Time);1;2;;
14.09.2021;16:30:00;PNS 18T DM-6.1;10704;4175:35:00;7:00;36,8;2,3;2,14;16,097;14,956;63,6;981;12;22,4;20,7;25,7;51,3;1;Period(Time);1;2;;
14.09.2021;17:30:00;PNS 18T DM-6.1;10704;4176:35:00;8:00;37;2,3;2,13;18,397;17,087;63,6;981;12,5;23,4;20,7;26,9;47,8;1;Period(Time);1;2;;
14.09.2021;18:30:00;PNS 18T DM-6.1;10704;4177:35:00;9:00;37,1;2,3;2,14;20,697;19,226;63,8;981;11,5;23,5;20,7;27,5;51,5;1;Period(Time);1;2;;
14.09.2021;19:30:00;PNS 18T DM-6.1;10704;4178:35:00;10:00;37,2;2,3;2,15;22,997;21,371;63,7;981;10,6;23,4;20,7;27,8;57,2;1;Period(Time);1;2;;
14.09.2021;20:30:00;PNS 18T DM-6.1;10704;4179:35:00;11:00;37,2;2,3;2,15;25,297;23,519;63,1;981;10,4;23,6;20,6;28,2;58,7;1;Period(Time);1;2;;
14.09.2021;21:30:00;PNS 18T DM-6.1;10704;4180:35:00;12:00;37,2;2,3;2,15;27,597;25,668;63,4;981;10;23,8;20,7;28,5;58,4;1;Period(Time);1;2;;
14.09.2021;22:30:00;PNS 18T DM-6.1;10704;4181:35:00;13:00;37,3;2,3;2,15;29,897;27,82;63,9;980;9,6;23,9;20,6;28,7;60;1;Period(Time);1;2;;
14.09.2021;23:30:00;PNS 18T DM-6.1;10704;4182:35:00;14:00;37,3;2,3;2,16;32,197;29,976;63,6;980;9,1;24;20,6;28,9;61,9;1;Period(Time);1;2;;
